nonUSmean_change,nonUSmean_index,filtered_dfnonUSmean,medianvalue
0.0024729471305288,0.0,0.0,0.0
-0.0051177484992052,0.0,0.0,0.0
1e-06,0.0,0.0,0.0
-0.0091994075525001,0.0,0.0,0.0
-0.0096790648646016,0.0,0.0,0.0
0.0018794688694361,0.0,0.0,0.0
-0.000416,0.0,0.0,0.0
0.00052,0.0,0.0,0.0
-0.0253,0.0,0.0,0.0
-0.0588,117.13050772823992,0.0066325258687003,0.0
0.00665,117.13050772823992,0.0066325258687003,0.0074429639774292
1e-05,118.9345790927211,-0.0024908491569007,0.0
0.0371,122.47300272312668,0.0239659217135899,0.0
-0.00101,122.55962497830843,-0.0001211517584851,0.0
0.00797,123.8663961502396,0.0072804566310846,0.0
0.0,123.86617226875752,9.985643872252268e-07,0.0
0.01175,125.65393531336863,0.0112116598608178,0.0
3.01999,219.824043121623,0.0098894065653769,0.0
0.0007,220.05171553326875,0.0009726435582239,0.0
0.00184,219.25345141585416,0.0018970144972577025,0.0
